DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
21K559,Life Academy High School for Film and Music,2017-18,303,0,0,0,0,0,0,0,0,0,0,96,73,81,53,156,51.5%,147,48.5%,36,11.9%,110,36.3%,103,34.0%,8,2.6%,46,15.2%,66,21.8%,21,6.9%,235,77.6%,77.1%
21K559,Life Academy High School for Film and Music,2018-19,286,0,0,0,0,0,0,0,0,0,0,71,88,55,72,145,50.7%,141,49.3%,33,11.5%,89,31.1%,119,41.6%,5,1.7%,40,14.0%,68,23.8%,28,9.8%,219,76.6%,77.4%
21K572,Expeditionary Learning School for Community Leader,2014-15,271,0,0,0,0,0,0,0,0,0,0,75,67,73,56,122,45.0%,149,55.0%,42,15.5%,47,17.3%,114,42.1%,5,1.8%,63,23.2%,45,16.6%,47,17.3%,209,77.1%,67.4%
21K572,Expeditionary Learning School for Community Leader,2015-16,283,0,0,0,0,0,0,0,0,0,0,83,67,70,63,126,44.5%,157,55.5%,49,17.3%,48,17.0%,108,38.2%,10,3.5%,68,24.0%,47,16.6%,41,14.5%,220,77.7%,67.4%
21K572,Expeditionary Learning School for Community Leader,2016-17,325,0,0,0,0,0,0,0,0,0,0,101,79,77,68,160,49.2%,165,50.8%,62,19.1%,61,18.8%,115,35.4%,12,3.7%,75,23.1%,60,18.5%,54,16.6%,264,81.2%,69.4%
21K572,Expeditionary Learning School for Community Leader,2017-18,347,0,0,0,0,0,0,0,0,0,0,93,92,84,78,159,45.8%,188,54.2%,62,17.9%,63,18.2%,119,34.3%,15,4.3%,88,25.4%,73,21.0%,69,19.9%,288,83.0%,80.4%
21K572,Expeditionary Learning School for Community Leader,2018-19,378,0,0,0,0,0,0,0,0,0,0,108,91,89,90,182,48.1%,196,51.9%,59,15.6%,68,18.0%,136,36.0%,15,4.0%,100,26.5%,77,20.4%,59,15.6%,289,76.5%,76.9%
21K620,William E. Grady Career and Technical Education Hi,2014-15,613,0,0,0,0,0,0,0,0,0,0,257,198,63,95,144,23.5%,469,76.5%,32,5.2%,421,68.7%,112,18.3%,8,1.3%,40,6.5%,177,28.9%,34,5.5%,548,89.4%,67.2%
21K620,William E. Grady Career and Technical Education Hi,2015-16,549,0,0,0,0,0,0,0,0,0,0,188,205,96,60,117,21.3%,432,78.7%,24,4.4%,373,67.9%,100,18.2%,10,1.8%,42,7.7%,186,33.9%,36,6.6%,451,82.1%,66.6%
21K620,William E. Grady Career and Technical Education Hi,2016-17,539,0,0,0,0,0,0,0,0,0,0,188,120,129,102,118,21.9%,421,78.1%,28,5.2%,353,65.5%,105,19.5%,11,2.0%,42,7.8%,179,33.2%,43,8.0%,439,81.4%,64.7%
21K620,William E. Grady Career and Technical Education Hi,2017-18,458,0,0,0,0,0,0,0,0,0,0,147,130,65,116,97,21.2%,361,78.8%,23,5.0%,277,60.5%,105,22.9%,11,2.4%,42,9.2%,160,34.9%,36,7.9%,412,90.0%,77.8%
21K620,William E. Grady Career and Technical Education Hi,2018-19,412,0,0,0,0,0,0,0,0,0,0,132,141,66,73,96,23.3%,316,76.7%,19,4.6%,230,55.8%,102,24.8%,12,2.9%,49,11.9%,159,38.6%,28,6.8%,363,88.1%,79.1%
21K690,Brooklyn Studio Secondary School,2014-15,901,0,0,0,0,0,0,0,79,85,90,223,186,138,100,455,50.5%,446,49.5%,147,16.3%,42,4.7%,236,26.2%,2,0.2%,474,52.6%,162,18.0%,103,11.4%,686,76.1%,62.8%
21K690,Brooklyn Studio Secondary School,2015-16,917,0,0,0,0,0,0,0,85,82,87,242,161,141,119,460,50.2%,457,49.8%,164,17.9%,32,3.5%,269,29.3%,4,0.4%,448,48.9%,172,18.8%,120,13.1%,695,75.8%,61.9%
21K690,Brooklyn Studio Secondary School,2016-17,926,0,0,0,0,0,0,0,102,87,84,226,161,128,138,469,50.6%,457,49.4%,182,19.7%,34,3.7%,274,29.6%,8,0.9%,428,46.2%,186,20.1%,134,14.5%,693,74.8%,61.3%
21K690,Brooklyn Studio Secondary School,2017-18,942,0,0,0,0,0,0,0,105,103,100,196,188,120,130,473,50.2%,469,49.8%,202,21.4%,33,3.5%,275,29.2%,12,1.3%,420,44.6%,190,20.2%,150,15.9%,730,77.5%,75.3%
21K690,Brooklyn Studio Secondary School,2018-19,929,0,0,0,0,0,0,0,115,110,113,182,152,114,143,458,49.3%,471,50.7%,202,21.7%,37,4.0%,271,29.2%,18,1.9%,401,43.2%,187,20.1%,149,16.0%,713,76.7%,72.2%
21K728,Liberation Diploma Plus,2014-15,199,0,0,0,0,0,0,0,0,0,0,37,84,32,46,96,48.2%,103,51.8%,4,2.0%,104,52.3%,59,29.6%,1,0.5%,31,15.6%,23,11.6%,2,1.0%,158,79.4%,75.7%
21K728,Liberation Diploma Plus,2015-16,206,0,0,0,0,0,0,0,0,0,0,35,83,37,51,93,45.1%,113,54.9%,4,1.9%,111,53.9%,61,29.6%,0,0.0%,30,14.6%,33,16.0%,2,1.0%,166,80.6%,73.2%
21K728,Liberation Diploma Plus,2016-17,206,0,0,0,0,0,0,0,0,0,0,34,84,55,33,88,42.7%,118,57.3%,5,2.4%,115,55.8%,62,30.1%,1,0.5%,23,11.2%,47,22.8%,2,1.0%,162,78.6%,72.1%
21K728,Liberation Diploma Plus,2017-18,225,0,0,0,0,0,0,0,0,0,0,38,86,46,55,99,44.0%,126,56.0%,4,1.8%,117,52.0%,82,36.4%,1,0.4%,21,9.3%,80,35.6%,9,4.0%,200,88.9%,86.7%
21K728,Liberation Diploma Plus,2018-19,245,0,0,0,0,0,0,0,0,0,0,73,72,50,50,113,46.1%,132,53.9%,7,2.9%,114,46.5%,97,39.6%,0,0.0%,27,11.0%,96,39.2%,21,8.6%,197,80.4%,86.4%
21K840,Brooklyn's Daily Discovery Pre-K Center,2015-16,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,86,54.8%,71,45.2%,40,25.5%,3,1.9%,51,32.5%,1,0.6%,62,39.5%,20,12.7%,0,0.0%,121,77.1%,52.2%
21K840,Brooklyn's Daily Discovery Pre-K Center,2016-17,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,138,51.1%,132,48.9%,100,37.0%,3,1.1%,71,26.3%,3,1.1%,93,34.4%,29,10.7%,0,0.0%,126,46.7%,54.6%
21K840,Brooklyn's Daily Discovery Pre-K Center,2017-18,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,134,50.8%,130,49.2%,73,27.7%,9,3.4%,72,27.3%,2,0.8%,108,40.9%,38,14.4%,0,0.0%,161,61.0%,68.2%
21K840,Brooklyn's Daily Discovery Pre-K Center,2018-19,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,132,50.0%,132,50.0%,58,22.0%,6,2.3%,73,27.7%,3,1.1%,124,47.0%,36,13.6%,0,0.0%,161,61.0%,68.7%
22K014,J.H.S. 014 Shell Bank,2014-15,549,0,0,0,0,0,0,0,176,188,185,0,0,0,0,261,47.5%,288,52.5%,55,10.0%,289,52.6%,82,14.9%,5,0.9%,118,21.5%,151,27.5%,90,16.4%,485,88.3%,70.2%
22K014,J.H.S. 014 Shell Bank,2015-16,548,0,0,0,0,0,0,0,163,196,189,0,0,0,0,241,44.0%,307,56.0%,60,10.9%,261,47.6%,92,16.8%,5,0.9%,130,23.7%,151,27.6%,99,18.1%,490,89.4%,65.6%
22K014,J.H.S. 014 Shell Bank,2016-17,534,0,0,0,0,0,0,0,132,184,218,0,0,0,0,236,44.2%,298,55.8%,66,12.4%,228,42.7%,89,16.7%,6,1.1%,145,27.2%,150,28.1%,130,24.3%,488,91.4%,63.4%
22K014,J.H.S. 014 Shell Bank,2017-18,525,0,0,0,0,0,0,0,150,168,207,0,0,0,0,225,42.9%,300,57.1%,78,14.9%,204,38.9%,87,16.6%,9,1.7%,147,28.0%,130,24.8%,128,24.4%,479,91.2%,82.7%
22K014,J.H.S. 014 Shell Bank,2018-19,527,0,0,0,0,0,0,0,164,170,193,0,0,0,0,233,44.2%,294,55.8%,83,15.7%,189,35.9%,82,15.6%,8,1.5%,165,31.3%,121,23.0%,138,26.2%,450,85.4%,81.2%
22K052,P.S. 052 Sheepshead Bay,2014-15,804,53,100,135,134,142,126,114,0,0,0,0,0,0,0,411,51.1%,393,48.9%,98,12.2%,117,14.6%,108,13.4%,22,2.7%,459,57.1%,118,14.7%,120,14.9%,595,74.0%,56.0%
22K052,P.S. 052 Sheepshead Bay,2015-16,866,67,127,130,144,138,131,129,0,0,0,0,0,0,0,437,50.5%,429,49.5%,136,15.7%,120,13.9%,131,15.1%,18,2.1%,461,53.2%,123,14.2%,144,16.6%,688,79.4%,53.0%
22K052,P.S. 052 Sheepshead Bay,2016-17,850,72,121,130,127,143,131,126,0,0,0,0,0,0,0,435,51.2%,415,48.8%,129,15.2%,123,14.5%,127,14.9%,15,1.8%,456,53.6%,109,12.8%,206,24.2%,644,75.8%,51.7%
22K052,P.S. 052 Sheepshead Bay,2017-18,823,72,131,102,132,123,132,131,0,0,0,0,0,0,0,411,49.9%,412,50.1%,143,17.4%,120,14.6%,115,14.0%,11,1.3%,434,52.7%,107,13.0%,228,27.7%,629,76.4%,70.1%
22K052,P.S. 052 Sheepshead Bay,2018-19,817,72,122,127,103,136,126,131,0,0,0,0,0,0,0,403,49.3%,414,50.7%,148,18.1%,121,14.8%,114,14.0%,13,1.6%,421,51.5%,108,13.2%,212,25.9%,622,76.1%,69.9%
22K078,J.H.S. 078 Roy H. Mann,2014-15,772,0,0,0,0,0,0,0,197,263,312,0,0,0,0,376,48.7%,396,51.3%,27,3.5%,571,74.0%,68,8.8%,7,0.9%,99,12.8%,188,24.4%,43,5.6%,554,71.8%,54.5%
22K078,J.H.S. 078 Roy H. Mann,2015-16,638,0,0,0,0,0,0,0,183,199,256,0,0,0,0,324,50.8%,314,49.2%,33,5.2%,468,73.4%,63,9.9%,5,0.8%,69,10.8%,169,26.5%,30,4.7%,496,77.7%,52.2%
22K078,J.H.S. 078 Roy H. Mann,2016-17,588,0,0,0,0,0,0,0,178,199,211,0,0,0,0,281,47.8%,307,52.2%,43,7.3%,411,69.9%,51,8.7%,9,1.5%,74,12.6%,151,25.7%,42,7.1%,492,83.7%,54.5%
22K078,J.H.S. 078 Roy H. Mann,2017-18,567,0,0,0,0,0,0,0,189,180,198,0,0,0,0,262,46.2%,305,53.8%,39,6.9%,398,70.2%,52,9.2%,9,1.6%,69,12.2%,149,26.3%,38,6.7%,482,85.0%,70.3%
22K078,J.H.S. 078 Roy H. Mann,2018-19,569,0,0,0,0,0,0,0,189,194,186,0,0,0,0,261,45.9%,308,54.1%,38,6.7%,375,65.9%,61,10.7%,17,3.0%,78,13.7%,137,24.1%,36,6.3%,423,74.3%,62.8%
22K109,P.S. 109,2014-15,625,35,48,63,57,49,58,44,92,84,95,0,0,0,0,306,49.0%,319,51.0%,5,0.8%,508,81.3%,99,15.8%,4,0.6%,9,1.4%,172,27.5%,30,4.8%,533,85.3%,72.3%
22K109,P.S. 109,2015-16,695,46,65,58,73,73,51,58,103,82,86,0,0,0,0,336,48.3%,359,51.7%,13,1.9%,556,80.0%,101,14.5%,7,1.0%,18,2.6%,178,25.6%,39,5.6%,605,87.1%,68.4%
22K109,P.S. 109,2016-17,682,40,55,61,59,68,74,55,96,98,76,0,0,0,0,335,49.1%,347,50.9%,12,1.8%,532,78.0%,111,16.3%,9,1.3%,18,2.6%,179,26.2%,45,6.6%,604,88.6%,63.3%
22K109,P.S. 109,2017-18,681,28,60,59,58,63,76,75,62,98,102,0,0,0,0,322,47.3%,359,52.7%,12,1.8%,545,80.0%,99,14.5%,9,1.3%,16,2.3%,174,25.6%,41,6.0%,594,87.2%,75.0%
22K109,P.S. 109,2018-19,582,21,39,56,52,60,58,67,74,62,93,0,0,0,0,279,47.9%,303,52.1%,11,1.9%,457,78.5%,89,15.3%,10,1.7%,15,2.6%,159,27.3%,31,5.3%,489,84.0%,71.4%
22K119,P.S. 119 Amersfort,2014-15,428,36,18,25,66,89,77,117,0,0,0,0,0,0,0,209,48.8%,219,51.2%,56,13.1%,306,71.5%,53,12.4%,4,0.9%,9,2.1%,72,16.8%,18,4.2%,279,65.2%,66.5%
22K119,P.S. 119 Amersfort,2015-16,405,36,50,20,47,89,82,81,0,0,0,0,0,0,0,192,47.4%,213,52.6%,57,14.1%,282,69.6%,54,13.3%,6,1.5%,6,1.5%,71,17.5%,25,6.2%,232,57.3%,60.3%
22K119,P.S. 119 Amersfort,2016-17,443,36,50,49,38,94,92,84,0,0,0,0,0,0,0,202,45.6%,241,54.4%,65,14.7%,295,66.6%,65,14.7%,9,2.0%,9,2.0%,81,18.3%,46,10.4%,263,59.4%,61.6%
22K119,P.S. 119 Amersfort,2017-18,442,34,46,40,56,84,95,87,0,0,0,0,0,0,0,192,43.4%,250,56.6%,73,16.5%,276,62.4%,65,14.7%,11,2.5%,17,3.8%,72,16.3%,41,9.3%,324,73.3%,72.6%
22K119,P.S. 119 Amersfort,2018-19,447,34,56,42,50,98,81,86,0,0,0,0,0,0,0,216,48.3%,231,51.7%,83,18.6%,262,58.6%,68,15.2%,17,3.8%,17,3.8%,70,15.7%,34,7.6%,317,70.9%,71.4%
22K134,P.S. K134,2014-15,581,33,109,86,105,83,93,72,0,0,0,0,0,0,0,303,52.2%,278,47.8%,240,41.3%,65,11.2%,89,15.3%,6,1.0%,181,31.2%,86,14.8%,136,23.4%,423,72.8%,77.1%
22K134,P.S. K134,2015-16,549,0,92,103,88,102,77,87,0,0,0,0,0,0,0,288,52.5%,261,47.5%,223,40.6%,48,8.7%,71,12.9%,7,1.3%,200,36.4%,89,16.2%,124,22.6%,393,71.6%,78.0%
22K134,P.S. K134,2016-17,562,0,106,96,104,86,97,73,0,0,0,0,0,0,0,288,51.2%,274,48.8%,236,42.0%,38,6.8%,62,11.0%,10,1.8%,216,38.4%,83,14.8%,125,22.2%,378,67.3%,75.0%
22K134,P.S. K134,2017-18,570,0,81,105,98,103,90,93,0,0,0,0,0,0,0,289,50.7%,281,49.3%,249,43.7%,32,5.6%,62,10.9%,11,1.9%,216,37.9%,79,13.9%,126,22.1%,454,79.6%,85.0%
22K134,P.S. K134,2018-19,587,0,117,80,96,100,100,94,0,0,0,0,0,0,0,296,50.4%,291,49.6%,273,46.5%,21,3.6%,48,8.2%,10,1.7%,235,40.0%,78,13.3%,101,17.2%,519,88.4%,84.1%
22K139,P.S. 139 Alexine A. Fenty,2014-15,1021,52,137,173,177,158,161,163,0,0,0,0,0,0,0,514,50.3%,507,49.7%,177,17.3%,339,33.2%,388,38.0%,18,1.8%,99,9.7%,159,15.6%,201,19.7%,837,82.0%,65.1%
22K139,P.S. 139 Alexine A. Fenty,2015-16,978,53,151,134,174,172,141,153,0,0,0,0,0,0,0,493,50.4%,485,49.6%,171,17.5%,307,31.4%,380,38.9%,30,3.1%,90,9.2%,164,16.8%,171,17.5%,805,82.3%,63.1%
22K139,P.S. 139 Alexine A. Fenty,2016-17,975,72,155,145,142,162,162,137,0,0,0,0,0,0,0,502,51.5%,473,48.5%,174,17.8%,271,27.8%,390,40.0%,36,3.7%,104,10.7%,173,17.7%,181,18.6%,820,84.1%,61.9%
22K139,P.S. 139 Alexine A. Fenty,2017-18,992,69,159,157,149,137,163,158,0,0,0,0,0,0,0,493,49.7%,499,50.3%,194,19.6%,253,25.5%,405,40.8%,34,3.4%,106,10.7%,184,18.5%,172,17.3%,809,81.6%,75.3%
22K139,P.S. 139 Alexine A. Fenty,2018-19,949,69,136,159,147,148,129,161,0,0,0,0,0,0,0,455,47.9%,494,52.1%,184,19.4%,229,24.1%,397,41.8%,34,3.6%,105,11.1%,163,17.2%,142,15.0%,748,78.8%,72.1%
22K152,School of Science & Technology,2014-15,893,30,121,131,194,153,126,138,0,0,0,0,0,0,0,435,48.7%,458,51.3%,56,6.3%,605,67.7%,191,21.4%,12,1.3%,29,3.2%,154,17.2%,118,13.2%,627,70.2%,74.3%
22K152,School of Science & Technology,2015-16,813,17,109,123,114,178,145,127,0,0,0,0,0,0,0,390,48.0%,423,52.0%,39,4.8%,524,64.5%,210,25.8%,17,2.1%,23,2.8%,155,19.1%,106,13.0%,555,68.3%,71.5%
22K152,School of Science & Technology,2016-17,774,18,107,121,114,109,171,134,0,0,0,0,0,0,0,361,46.6%,413,53.4%,44,5.7%,486,62.8%,197,25.5%,14,1.8%,33,4.3%,163,21.1%,123,15.9%,519,67.1%,71.5%
22K152,School of Science & Technology,2017-18,734,35,92,107,109,121,110,160,0,0,0,0,0,0,0,346,47.1%,388,52.9%,47,6.4%,442,60.2%,201,27.4%,14,1.9%,30,4.1%,167,22.8%,124,16.9%,592,80.7%,82.4%
22K152,School of Science & Technology,2018-19,655,36,95,89,102,112,111,110,0,0,0,0,0,0,0,322,49.2%,333,50.8%,50,7.6%,379,57.9%,185,28.2%,10,1.5%,31,4.7%,133,20.3%,110,16.8%,497,75.9%,79.0%
22K193,P.S. 193 Gil Hodges,2014-15,882,17,132,144,135,164,146,144,0,0,0,0,0,0,0,432,49.0%,450,51.0%,145,16.4%,416,47.2%,129,14.6%,35,4.0%,157,17.8%,145,16.4%,146,16.6%,689,78.1%,56.0%
22K193,P.S. 193 Gil Hodges,2015-16,866,15,133,136,149,140,150,143,0,0,0,0,0,0,0,420,48.5%,446,51.5%,147,17.0%,406,46.9%,122,14.1%,38,4.4%,153,17.7%,157,18.1%,151,17.4%,661,76.3%,54.0%
22K193,P.S. 193 Gil Hodges,2016-17,803,18,91,142,137,144,134,137,0,0,0,0,0,0,0,388,48.3%,415,51.7%,139,17.3%,367,45.7%,109,13.6%,45,5.6%,143,17.8%,167,20.8%,162,20.2%,626,78.0%,52.0%
22K193,P.S. 193 Gil Hodges,2017-18,758,18,113,94,137,121,147,128,0,0,0,0,0,0,0,367,48.4%,391,51.6%,135,17.8%,342,45.1%,108,14.2%,40,5.3%,133,17.5%,158,20.8%,156,20.6%,579,76.4%,66.1%
22K193,P.S. 193 Gil Hodges,2018-19,703,17,89,115,98,129,115,140,0,0,0,0,0,0,0,347,49.4%,356,50.6%,118,16.8%,293,41.7%,98,13.9%,53,7.5%,141,20.1%,145,20.6%,133,18.9%,505,71.8%,63.5%
22K194,P.S. 194 Raoul Wallenberg,2014-15,469,36,76,86,79,59,71,62,0,0,0,0,0,0,0,223,47.5%,246,52.5%,62,13.2%,229,48.8%,114,24.3%,8,1.7%,56,11.9%,114,24.3%,44,9.4%,365,77.8%,81.6%
22K194,P.S. 194 Raoul Wallenberg,2015-16,495,34,77,85,80,87,64,68,0,0,0,0,0,0,0,242,48.9%,253,51.1%,59,11.9%,244,49.3%,115,23.2%,8,1.6%,69,13.9%,133,26.9%,42,8.5%,385,77.8%,81.1%
22K194,P.S. 194 Raoul Wallenberg,2016-17,519,36,77,78,89,81,93,65,0,0,0,0,0,0,0,258,49.7%,261,50.3%,59,11.4%,249,48.0%,105,20.2%,7,1.3%,99,19.1%,136,26.2%,49,9.4%,396,76.3%,80.2%
22K194,P.S. 194 Raoul Wallenberg,2017-18,590,54,83,95,88,91,84,95,0,0,0,0,0,0,0,301,51.0%,289,49.0%,64,10.8%,272,46.1%,117,19.8%,7,1.2%,130,22.0%,152,25.8%,70,11.9%,521,88.3%,90.4%
22K194,P.S. 194 Raoul Wallenberg,2018-19,557,60,64,84,97,76,89,87,0,0,0,0,0,0,0,284,51.0%,273,49.0%,65,11.7%,258,46.3%,111,19.9%,8,1.4%,115,20.6%,151,27.1%,72,12.9%,491,88.2%,91.0%
22K195,P.S. 195 Manhattan Beach,2014-15,460,21,71,76,77,79,71,65,0,0,0,0,0,0,0,218,47.4%,242,52.6%,19,4.1%,14,3.0%,16,3.5%,2,0.4%,409,88.9%,40,8.7%,59,12.8%,141,30.7%,26.4%
22K195,P.S. 195 Manhattan Beach,2015-16,458,16,68,70,75,81,81,67,0,0,0,0,0,0,0,216,47.2%,242,52.8%,15,3.3%,12,2.6%,9,2.0%,2,0.4%,420,91.7%,35,7.6%,49,10.7%,133,29.0%,24.9%
22K195,P.S. 195 Manhattan Beach,2016-17,476,18,71,77,75,75,83,77,0,0,0,0,0,0,0,228,47.9%,248,52.1%,15,3.2%,7,1.5%,7,1.5%,3,0.6%,444,93.3%,32,6.7%,70,14.7%,145,30.5%,24.1%
22K195,P.S. 195 Manhattan Beach,2017-18,481,18,70,80,82,73,75,83,0,0,0,0,0,0,0,237,49.3%,244,50.7%,15,3.1%,9,1.9%,8,1.7%,5,1.0%,444,92.3%,30,6.2%,82,17.0%,155,32.2%,31.8%
22K195,P.S. 195 Manhattan Beach,2018-19,484,17,70,77,82,87,77,74,0,0,0,0,0,0,0,242,50.0%,242,50.0%,13,2.7%,6,1.2%,8,1.7%,6,1.2%,451,93.2%,32,6.6%,79,16.3%,143,29.5%,28.0%
22K197,P.S. 197 - The Kings Highway Academy,2014-15,601,70,89,87,85,91,84,95,0,0,0,0,0,0,0,317,52.7%,284,47.3%,53,8.8%,94,15.6%,108,18.0%,11,1.8%,335,55.7%,114,19.0%,140,23.3%,359,59.7%,62.4%
22K197,P.S. 197 - The Kings Highway Academy,2015-16,613,64,98,100,93,85,93,80,0,0,0,0,0,0,0,315,51.4%,298,48.6%,53,8.6%,73,11.9%,105,17.1%,19,3.1%,363,59.2%,125,20.4%,147,24.0%,333,54.3%,58.5%
22K197,P.S. 197 - The Kings Highway Academy,2016-17,640,65,95,95,105,98,87,95,0,0,0,0,0,0,0,345,53.9%,295,46.1%,69,10.8%,76,11.9%,96,15.0%,14,2.2%,385,60.2%,129,20.2%,150,23.4%,333,52.0%,55.9%
22K197,P.S. 197 - The Kings Highway Academy,2017-18,664,67,114,93,99,104,104,83,0,0,0,0,0,0,0,347,52.3%,317,47.7%,85,12.8%,68,10.2%,81,12.2%,17,2.6%,413,62.2%,119,17.9%,183,27.6%,429,64.6%,69.1%
22K197,P.S. 197 - The Kings Highway Academy,2018-19,769,71,156,120,93,110,107,112,0,0,0,0,0,0,0,398,51.8%,371,48.2%,133,17.3%,69,9.0%,85,11.1%,15,2.0%,467,60.7%,121,15.7%,223,29.0%,468,60.9%,65.4%
22K198,P.S. 198 Brooklyn,2014-15,472,13,58,76,86,91,77,71,0,0,0,0,0,0,0,211,44.7%,261,55.3%,13,2.8%,409,86.7%,35,7.4%,7,1.5%,8,1.7%,108,22.9%,25,5.3%,426,90.3%,66.3%
22K198,P.S. 198 Brooklyn,2015-16,476,36,58,67,71,87,88,69,0,0,0,0,0,0,0,215,45.2%,261,54.8%,14,2.9%,414,87.0%,33,6.9%,9,1.9%,6,1.3%,107,22.5%,21,4.4%,413,86.8%,66.8%
22K198,P.S. 198 Brooklyn,2016-17,447,33,63,53,66,70,78,84,0,0,0,0,0,0,0,203,45.4%,244,54.6%,15,3.4%,387,86.6%,34,7.6%,4,0.9%,7,1.6%,107,23.9%,9,2.0%,379,84.8%,63.5%
22K198,P.S. 198 Brooklyn,2017-18,390,29,50,56,51,64,65,75,0,0,0,0,0,0,0,186,47.7%,204,52.3%,13,3.3%,333,85.4%,36,9.2%,4,1.0%,4,1.0%,88,22.6%,12,3.1%,326,83.6%,75.0%
22K198,P.S. 198 Brooklyn,2018-19,408,35,67,61,60,58,68,59,0,0,0,0,0,0,0,205,50.2%,203,49.8%,12,2.9%,338,82.8%,42,10.3%,10,2.5%,6,1.5%,84,20.6%,6,1.5%,330,80.9%,74.5%
22K203,P.S. 203 Floyd Bennett School,2014-15,778,89,105,98,136,136,120,94,0,0,0,0,0,0,0,392,50.4%,386,49.6%,23,3.0%,636,81.7%,76,9.8%,13,1.7%,30,3.9%,161,20.7%,36,4.6%,459,59.0%,56.1%
22K203,P.S. 203 Floyd Bennett School,2015-16,812,107,118,105,104,131,140,107,0,0,0,0,0,0,0,415,51.1%,397,48.9%,39,4.8%,645,79.4%,77,9.5%,24,3.0%,27,3.3%,167,20.6%,35,4.3%,441,54.3%,52.0%
22K203,P.S. 203 Floyd Bennett School,2016-17,787,84,126,107,101,112,126,131,0,0,0,0,0,0,0,392,49.8%,395,50.2%,50,6.4%,607,77.1%,87,11.1%,23,2.9%,20,2.5%,167,21.2%,51,6.5%,442,56.2%,53.5%
22K203,P.S. 203 Floyd Bennett School,2017-18,729,84,93,119,106,109,103,115,0,0,0,0,0,0,0,352,48.3%,377,51.7%,51,7.0%,558,76.5%,75,10.3%,20,2.7%,25,3.4%,158,21.7%,58,8.0%,489,67.1%,65.8%
22K203,P.S. 203 Floyd Bennett School,2018-19,675,90,94,75,115,101,101,99,0,0,0,0,0,0,0,325,48.1%,350,51.9%,59,8.7%,496,73.5%,73,10.8%,22,3.3%,25,3.7%,148,21.9%,60,8.9%,444,65.8%,64.7%
22K206,P.S. 206 Joseph F Lamb,2014-15,1412,60,180,149,174,161,156,174,124,121,113,0,0,0,0,699,49.5%,713,50.5%,662,46.9%,29,2.1%,138,9.8%,19,1.3%,564,39.9%,172,12.2%,241,17.1%,1035,73.3%,50.5%
22K206,P.S. 206 Joseph F Lamb,2015-16,1425,36,146,197,159,184,176,168,126,118,115,0,0,0,0,693,48.6%,732,51.4%,657,46.1%,34,2.4%,155,10.9%,19,1.3%,560,39.3%,190,13.3%,276,19.4%,1053,73.9%,48.8%
22K206,P.S. 206 Joseph F Lamb,2016-17,1492,36,170,158,204,164,192,192,131,123,122,0,0,0,0,730,48.9%,762,51.1%,707,47.4%,29,1.9%,148,9.9%,24,1.6%,584,39.1%,189,12.7%,300,20.1%,1102,73.9%,46.7%
22K206,P.S. 206 Joseph F Lamb,2017-18,1505,18,172,171,162,215,177,196,152,126,116,0,0,0,0,761,50.6%,744,49.4%,717,47.6%,24,1.6%,145,9.6%,23,1.5%,596,39.6%,192,12.8%,340,22.6%,1108,73.6%,60.8%
22K206,P.S. 206 Joseph F Lamb,2018-19,1518,0,169,184,178,170,222,187,145,143,120,0,0,0,0,772,50.9%,746,49.1%,710,46.8%,25,1.6%,154,10.1%,25,1.6%,604,39.8%,178,11.7%,361,23.8%,1054,69.4%,60.3%
22K207,P.S. 207 Elizabeth G. Leary,2014-15,1266,33,108,122,133,151,161,163,156,115,124,0,0,0,0,592,46.8%,674,53.2%,133,10.5%,437,34.5%,180,14.2%,16,1.3%,500,39.5%,201,15.9%,30,2.4%,633,50.0%,30.6%
22K207,P.S. 207 Elizabeth G. Leary,2015-16,1272,35,129,117,122,133,160,161,148,151,116,0,0,0,0,613,48.2%,659,51.8%,126,9.9%,439,34.5%,190,14.9%,23,1.8%,494,38.8%,223,17.5%,32,2.5%,642,50.5%,30.5%
22K207,P.S. 207 Elizabeth G. Leary,2016-17,1292,18,127,130,123,133,140,165,165,143,148,0,0,0,0,617,47.8%,675,52.2%,133,10.3%,451,34.9%,196,15.2%,24,1.9%,488,37.8%,243,18.8%,45,3.5%,636,49.2%,28.2%
22K207,P.S. 207 Elizabeth G. Leary,2017-18,1228,18,117,117,132,130,139,141,132,162,140,0,0,0,0,586,47.7%,642,52.3%,151,12.3%,416,33.9%,191,15.6%,26,2.1%,444,36.2%,238,19.4%,53,4.3%,636,51.8%,38.9%
22K207,P.S. 207 Elizabeth G. Leary,2018-19,1159,18,105,113,112,131,137,141,128,127,147,0,0,0,0,542,46.8%,617,53.2%,167,14.4%,392,33.8%,183,15.8%,30,2.6%,387,33.4%,212,18.3%,50,4.3%,553,47.7%,38.3%
