DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
18K598,Middle School,Middle School of Marketing and Legal Studies,64%,86%,91%,88%,83%,85%,80%,83%,87%,90%,81%,87%
18K617,High School,High School for Innovation in Advertising and Media,8%,100%,71%,73%,71%,73%,71%,85%,85%,91%,84%,71%
18K629,High School,Cultural Academy for the Arts and Sciences,10%,96%,72%,71%,71%,70%,74%,79%,82%,90%,79%,70%
18K633,High School,High School for Medical Professions,11%,83%,68%,89%,87%,85%,74%,81%,87%,88%,78%,88%
18K635,Transfer High School,Olympus Academy,15%,100%,75%,98%,98%,89%,79%,90%,99%,92%,90%,97%
18K637,High School,Academy for Conservation and the Environment,67%,88%,79%,87%,91%,86%,86%,80%,91%,95%,76%,89%
18K642,High School,Urban Action Academy,31%,96%,55%,88%,93%,85%,80%,80%,91%,92%,79%,89%
18K673,Transfer High School,East Brooklyn Community High School,23%,100%,72%,97%,96%,91%,79%,90%,96%,94%,89%,96%
18K763,Middle School,Brooklyn Science and Engineering Academy,77%,100%,96%,100%,98%,98%,81%,95%,97%,92%,94%,99%
18K922,YABC,South Shore Educational Complex Yabc,49%,72%,47%,98%,96%,97%,72%,98%,100%,95%,97%,98%
19K007,Elementary School,P.S. 007 Abraham Lincoln,75%,76%,N/A,77%,64%,86%,82%,86%,83%,92%,N/A,76%
19K013,Elementary School,P.S. 013 Roberto Clemente,42%,87%,N/A,79%,66%,91%,85%,77%,79%,89%,N/A,75%
19K065,Elementary School,P.S. 065,81%,95%,N/A,93%,88%,97%,87%,98%,96%,95%,N/A,94%
19K089,Elementary/Middle,P.S. 089 Cypress Hills,68%,100%,96%,85%,72%,83%,85%,91%,90%,96%,89%,81%
19K108,Elementary School,P.S. 108 Sal Abbracciamento,68%,97%,N/A,92%,88%,96%,85%,96%,94%,92%,N/A,93%
19K149,Elementary School,P.S. 149 Danny Kaye,47%,52%,N/A,73%,61%,96%,77%,84%,77%,87%,N/A,73%
19K158,Elementary School,P.S. 158 Warwick,39%,84%,N/A,94%,89%,93%,89%,92%,96%,94%,N/A,93%
19K159,Elementary School,P.S. 159 Isaac Pitkin,68%,95%,N/A,99%,94%,100%,80%,99%,96%,88%,N/A,99%
19K166,Middle School,J.H.S. 166 George Gershwin,65%,71%,86%,80%,75%,69%,77%,76%,87%,86%,74%,79%
19K171,Middle School,I.S. 171 Abraham Lincoln,56%,81%,93%,94%,86%,93%,76%,85%,93%,88%,84%,93%
19K174,Elementary/Middle,P.S. 174 Dumont,53%,71%,93%,91%,88%,95%,84%,83%,90%,86%,82%,93%
19K190,Elementary School,P.S. 190 Sheffield,32%,76%,N/A,72%,61%,89%,72%,87%,78%,83%,N/A,73%
19K202,Elementary/Middle,P.S. 202 Ernest S. Jenkyns,64%,60%,85%,71%,61%,86%,77%,78%,76%,88%,75%,70%
19K213,Elementary School,P.S. 213 New Lots,41%,87%,N/A,72%,59%,88%,79%,85%,75%,87%,N/A,72%
19K214,Elementary School,P.S. 214 Michael Friedsam,45%,64%,N/A,91%,79%,96%,85%,94%,94%,92%,N/A,90%
19K218,Middle School,J.H.S. 218 James P. Sinnott,17%,75%,49%,85%,80%,87%,79%,82%,89%,88%,82%,84%
19K224,Elementary School,P.S. 224 Hale A. Woodruff,51%,41%,N/A,92%,81%,86%,83%,85%,91%,89%,N/A,87%
19K273,Elementary School,P.S. 273 Wortman,47%,100%,N/A,94%,85%,96%,88%,92%,94%,94%,N/A,92%
19K290,Elementary School,P.S. 290 Juan Morel Campos,29%,52%,N/A,84%,76%,87%,84%,89%,89%,92%,N/A,84%
19K292,Middle School,J.H.S. 292 Margaret S. Douglas,42%,88%,88%,79%,72%,79%,72%,81%,85%,84%,80%,79%
19K302,Middle/High,J.H.S. 302 Rafael Cordero,67%,100%,94%,87%,84%,84%,74%,83%,89%,86%,82%,87%
19K306,Elementary/Middle,P.S. 306 Ethan Allen,27%,74%,95%,68%,50%,85%,81%,78%,75%,87%,79%,66%
19K311,Middle School,Essence School,31%,100%,93%,96%,91%,83%,84%,78%,92%,89%,77%,94%
19K325,Elementary School,The Fresh Creek School,43%,53%,N/A,83%,78%,83%,82%,92%,84%,85%,N/A,84%
19K328,Elementary School,P.S. 328 Phyllis Wheatley,45%,93%,N/A,91%,84%,85%,84%,92%,92%,89%,N/A,90%
19K345,Elementary School,P.S. 345 Patrolman Robert Bolden,18%,42%,N/A,78%,68%,90%,83%,86%,82%,89%,N/A,78%
19K346,Elementary School,P.S. 346 Abe Stark,47%,76%,N/A,93%,85%,92%,85%,93%,93%,92%,N/A,91%
19K364,Middle School,I.S. 364 Gateway,63%,84%,93%,85%,80%,81%,77%,82%,87%,88%,80%,84%
19K404,Middle/High,Academy for Young Writers,26%,90%,77%,85%,87%,71%,75%,78%,92%,89%,78%,84%
19K409,Middle/High,East New York Family Academy,31%,91%,79%,85%,84%,87%,71%,80%,90%,86%,78%,88%
19K422,Middle School,Spring Creek Community School,38%,96%,93%,96%,94%,88%,77%,85%,93%,88%,83%,96%
19K431,YABC,Thomas Jefferson Yabc,6%,61%,62%,98%,91%,99%,88%,97%,98%,97%,97%,96%
19K452,Middle School,Frederick Douglass Academy VIII Middle School,82%,75%,96%,95%,91%,89%,84%,85%,96%,95%,83%,95%
19K501,YABC,Franklin K. Lane Campus YABC,8%,81%,26%,96%,91%,92%,67%,84%,95%,84%,84%,95%
19K502,High School,FDNY High School for Fire and Life Safety,46%,89%,83%,71%,73%,74%,87%,83%,83%,94%,82%,70%
19K504,High School,High School for Civil Rights,14%,89%,88%,93%,84%,91%,77%,87%,93%,87%,86%,92%
19K507,High School,Performing Arts and Technology High School,27%,79%,61%,89%,87%,89%,78%,78%,89%,87%,78%,89%
19K510,High School,World Academy for Total Community Health High School,31%,100%,90%,87%,85%,91%,74%,78%,86%,87%,75%,88%
19K557,Early Childhood,Brooklyn Gardens Elementary School,86%,71%,N/A,96%,97%,98%,90%,97%,98%,95%,N/A,98%
19K583,High School,Multicultural High School,19%,92%,87%,89%,82%,85%,81%,84%,93%,92%,83%,88%
19K615,High School,Transit Tech Career and Technical Education High School,13%,90%,70%,76%,71%,78%,69%,74%,83%,82%,72%,77%
19K618,High School,Academy of Innovative Technology,8%,100%,63%,89%,88%,84%,78%,86%,94%,93%,84%,88%
19K639,High School,Brooklyn Lab School,21%,100%,73%,70%,70%,80%,71%,77%,77%,78%,76%,73%
19K654,Middle School,Van Siclen Community Middle School,35%,92%,87%,96%,93%,86%,80%,83%,95%,91%,84%,95%
19K659,High School,Cypress Hills Collegiate Preparatory School,17%,75%,51%,64%,56%,77%,67%,79%,74%,77%,80%,64%
19K660,High School,W. H. Maxwell Career and Technical Education High School,54%,88%,82%,87%,81%,87%,76%,82%,90%,89%,81%,87%
19K661,Middle School,Vista Academy,30%,56%,47%,73%,74%,74%,77%,89%,79%,91%,92%,69%
19K662,Middle School,Liberty Avenue Middle School,82%,100%,91%,97%,94%,91%,78%,94%,97%,90%,95%,96%
19K663,Middle School,School of the Future Brooklyn,39%,100%,92%,97%,94%,88%,85%,83%,93%,91%,82%,96%
19K677,Elementary School,East New York Elementary School of Excellence,47%,77%,N/A,93%,86%,91%,87%,85%,96%,95%,N/A,90%
19K678,Middle School,East New York Middle School of Excellence,98%,100%,94%,96%,91%,86%,83%,93%,96%,94%,91%,94%
19K683,High School,"The School for Classics: An Academy of Thinkers, Writers and Peformers",30%,96%,78%,92%,84%,89%,79%,84%,91%,90%,83%,90%
19K760,Middle School,Highland Park Community School,48%,100%,94%,92%,87%,87%,74%,85%,91%,88%,84%,90%
19K764,High School,The Urban Assembly School for Collaborative Healthcare,34%,100%,90%,88%,76%,85%,78%,76%,83%,74%,75%,87%
20K030,Elementary/Middle,PS/IS 30 Mary White Ovington,57%,80%,96%,88%,81%,87%,76%,87%,90%,88%,84%,87%
20K048,Elementary School,P.S. 048 Mapleton,88%,100%,N/A,85%,76%,87%,78%,92%,92%,92%,N/A,84%
20K062,Middle School,J.H.S. 062 Ditmas,77%,99%,98%,90%,84%,89%,74%,87%,92%,88%,85%,90%
20K069,Elementary School,P.S. 69 Vincent D. Grippo School,100%,88%,N/A,95%,85%,93%,82%,95%,97%,93%,N/A,93%
20K102,Elementary School,P.S. 102 The Bayview,85%,75%,N/A,93%,86%,94%,83%,95%,94%,91%,N/A,92%
20K104,Elementary/Middle,P.S./I.S. 104 The Fort Hamilton School,100%,100%,99%,93%,85%,92%,78%,86%,93%,88%,84%,93%
20K105,Elementary School,P.S. 105 The Blythebourne,91%,97%,N/A,88%,83%,90%,85%,92%,93%,96%,N/A,87%
20K112,Elementary School,P.S. 112 Lefferts Park,88%,100%,N/A,91%,87%,94%,80%,93%,95%,93%,N/A,91%
20K127,Elementary School,P.S. 127 Mckinley Park,86%,100%,N/A,92%,90%,95%,84%,97%,94%,93%,N/A,93%
20K160,Elementary School,P.S. 160 William T. Sampson,100%,83%,N/A,93%,87%,94%,82%,95%,96%,94%,N/A,93%
20K163,Elementary/Middle,P.S. 163 Bath Beach,40%,35%,94%,97%,90%,95%,83%,94%,96%,91%,93%,96%
20K164,Elementary School,P.S. 164 Caesar Rodney,100%,100%,N/A,96%,90%,94%,86%,98%,98%,94%,N/A,95%
20K170,Elementary School,Ralph A. Fabrizio School,95%,100%,N/A,97%,91%,96%,83%,97%,97%,92%,N/A,96%
20K176,Elementary School,P.S. 176 Ovington,97%,64%,N/A,95%,89%,95%,82%,96%,96%,93%,N/A,94%
20K179,Elementary School,P.S. 179 Kensington,70%,72%,N/A,86%,78%,96%,78%,96%,91%,88%,N/A,88%
20K180,Elementary/Middle,The SEEALL Academy,72%,73%,100%,94%,89%,93%,80%,86%,93%,91%,84%,94%
20K185,Elementary School,P.S. 185 Walter Kassenbrock,85%,100%,N/A,98%,92%,93%,86%,98%,97%,91%,N/A,97%
20K186,Elementary School,P.S. 186 Dr. Irving A Gladstone,85%,71%,N/A,85%,79%,92%,83%,94%,88%,94%,N/A,85%
20K187,Middle School,The Christa McAuliffe School\I.S. 187,64%,75%,100%,91%,90%,92%,76%,92%,93%,92%,90%,91%
20K192,Elementary/Middle,P.S. 192 - The Magnet School for Math and Science Inquiry,83%,80%,99%,89%,78%,90%,81%,89%,90%,91%,86%,87%
20K200,Elementary School,P.S. 200 Benson School,65%,70%,N/A,82%,76%,89%,79%,92%,90%,90%,N/A,84%
20K201,Middle School,J.H.S. 201 The Dyker Heights,84%,81%,99%,94%,87%,92%,70%,88%,94%,86%,85%,94%
20K204,Elementary School,P.S. 204 Vince Lombardi,62%,96%,N/A,94%,85%,94%,81%,96%,96%,92%,N/A,93%
20K205,Elementary School,P.S. 205 Clarion,55%,57%,N/A,86%,76%,88%,80%,92%,85%,91%,N/A,84%
20K220,Middle School,J.H.S. 220 John J. Pershing,55%,90%,92%,80%,77%,83%,67%,82%,87%,85%,81%,80%
20K223,Middle School,J.H.S. 223 The Montauk,53%,74%,95%,88%,82%,85%,72%,86%,90%,88%,84%,86%
20K227,Middle School,J.H.S. 227 Edward B. Shallow,31%,98%,95%,87%,78%,85%,68%,85%,91%,86%,84%,86%
20K229,Elementary/Middle,P.S. 229 Dyker,76%,68%,98%,88%,76%,90%,80%,87%,89%,91%,83%,88%
20K247,Elementary School,P.S. 247 Brooklyn,66%,86%,N/A,90%,79%,89%,82%,92%,95%,93%,N/A,88%
20K259,Middle School,J.H.S. 259 William Mckinley,75%,100%,96%,96%,91%,95%,69%,89%,94%,86%,88%,96%
20K264,Elementary School,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,100%,97%,N/A,91%,90%,95%,84%,97%,93%,92%,N/A,93%
20K310,Elementary School,The School For Future Leaders,84%,97%,N/A,97%,93%,93%,95%,95%,99%,98%,N/A,95%
20K445,High School,New Utrecht High School,43%,75%,77%,86%,80%,83%,65%,81%,87%,82%,80%,85%
20K485,High School,High School of Telecommunication Arts and Technology,15%,84%,82%,93%,89%,88%,75%,88%,93%,91%,86%,92%
20K490,High School,Fort Hamilton High School,41%,87%,79%,89%,81%,88%,64%,81%,86%,80%,80%,88%
20K503,Elementary School,PS 503: The School of Discovery,67%,85%,N/A,88%,85%,81%,87%,89%,93%,95%,N/A,87%
20K505,High School,Franklin Delano Roosevelt High School,46%,89%,70%,89%,82%,85%,65%,83%,90%,81%,81%,89%
20K506,Elementary School,P.S. 506: The School of Journalism & Technology,49%,85%,N/A,93%,85%,91%,82%,93%,95%,91%,N/A,92%
20K609,Middle/High,Urban Assembly School for Criminal Justice,18%,83%,90%,89%,85%,87%,73%,88%,90%,89%,87%,88%
20K658,YABC,Franklin Delano Roosevelt YABC,0%,86%,36%,92%,88%,91%,92%,91%,95%,N/A,93%,91%
20K682,Elementary School,The Academy of Talented Scholars,88%,84%,N/A,94%,86%,93%,93%,97%,96%,97%,N/A,93%
20K686,Elementary School,Brooklyn School of Inquiry,86%,91%,97%,97%,95%,91%,90%,94%,95%,93%,90%,97%
20K748,Elementary School,P.S. 748 Brooklyn School for Global Scholars,95%,100%,N/A,96%,93%,98%,83%,98%,95%,92%,N/A,96%
20K971,Elementary School,"School of Math, Science, and Healthy Living",96%,86%,N/A,85%,78%,95%,83%,96%,90%,95%,N/A,87%
21K090,Elementary School,P.S. 90 Edna Cohen School,57%,82%,N/A,81%,78%,82%,82%,90%,84%,88%,N/A,82%
21K095,Elementary/Middle,P.S. 095 The Gravesend,61%,96%,99%,95%,90%,97%,82%,97%,94%,91%,97%,94%
21K096,Middle School,I.S. 096 Seth Low,67%,98%,96%,93%,89%,90%,74%,85%,93%,88%,84%,93%
21K097,Elementary School,P.S. 97 The Highlawn,78%,93%,N/A,90%,88%,89%,81%,96%,95%,94%,N/A,91%
21K098,Middle School,I.S. 98 Bay Academy,95%,92%,97%,96%,91%,94%,70%,89%,94%,87%,87%,96%
21K099,Elementary/Middle,P.S. 099 Isaac Asimov,68%,100%,95%,100%,96%,99%,80%,96%,97%,91%,96%,99%
21K100,Elementary School,P.S. 100 The Coney Island School,94%,84%,N/A,96%,87%,96%,80%,96%,91%,85%,N/A,95%
21K101,Elementary School,P.S. 101 The Verrazano,97%,83%,N/A,96%,91%,93%,82%,97%,98%,93%,N/A,96%
21K121,Elementary/Middle,P.S. 121 Nelson A. Rockefeller,78%,93%,97%,94%,91%,93%,83%,87%,94%,93%,85%,94%
21K128,Elementary School,P.S. 128 Bensonhurst,86%,84%,N/A,90%,82%,89%,78%,94%,93%,90%,N/A,89%
21K153,Elementary School,P.S. 153 Homecrest,91%,74%,N/A,91%,84%,94%,81%,97%,91%,90%,N/A,91%
21K177,Elementary School,P.S. 177 The Marlboro,81%,90%,N/A,89%,83%,92%,80%,95%,90%,91%,N/A,89%
21K188,Elementary School,P.S. 188 Michael E. Berdy,63%,98%,N/A,82%,73%,87%,82%,89%,89%,89%,N/A,82%
21K199,Elementary School,P.S. 199 Frederick Wachtel,62%,79%,N/A,94%,86%,95%,86%,98%,96%,96%,N/A,92%
21K209,Elementary/Middle,P.S. 209 Margaret Mead,68%,78%,98%,94%,81%,93%,81%,91%,93%,92%,89%,91%
21K212,Elementary School,P.S. 212 Lady Deborah Moody,55%,96%,N/A,89%,78%,91%,79%,96%,92%,88%,N/A,89%
21K215,Elementary School,P.S. 215 Morris H. Weiss,64%,88%,N/A,96%,91%,98%,80%,97%,92%,87%,N/A,96%
21K216,Elementary School,P.S. 216 Arturo Toscanini,88%,95%,N/A,92%,84%,88%,84%,93%,96%,94%,N/A,91%
21K225,Elementary/Middle,P.S. K225 - The Eileen E. Zaglin,66%,88%,93%,89%,85%,92%,76%,87%,92%,88%,86%,90%
21K226,Elementary/Middle,P.S. 226 Alfred De B.Mason,50%,72%,99%,93%,85%,95%,82%,92%,93%,91%,91%,92%
21K228,Middle School,I.S. 228 David A. Boody,33%,80%,95%,94%,89%,92%,74%,88%,93%,90%,86%,93%
21K238,Elementary/Middle,P.S. 238 Anne Sullivan,59%,88%,95%,91%,77%,88%,82%,89%,92%,92%,87%,88%
21K239,Middle School,Mark Twain I.S. 239 for the Gifted & Talented,76%,93%,97%,89%,86%,88%,73%,87%,91%,87%,85%,89%
21K253,Elementary School,P.S. 253,100%,97%,N/A,98%,95%,99%,84%,97%,98%,93%,N/A,98%
21K281,Middle School,I.S. 281 Joseph B Cavallaro,21%,75%,96%,78%,65%,81%,69%,81%,81%,87%,79%,73%
21K288,Elementary/Middle,P.S. 288 The Shirley Tanyhill,22%,67%,97%,86%,82%,83%,81%,80%,89%,91%,78%,85%
21K303,Middle School,I.S. 303 Herbert S. Eisenberg,96%,79%,99%,83%,76%,87%,74%,88%,86%,87%,88%,81%
21K329,Elementary School,P.S. 329 Surfside,48%,74%,N/A,79%,69%,83%,81%,77%,81%,88%,N/A,76%
21K337,High School,International High School at Lafayette,53%,100%,90%,85%,76%,84%,71%,85%,87%,87%,86%,81%
21K344,High School,Rachel Carson High School for Coastal Studies,51%,86%,93%,88%,83%,84%,74%,83%,93%,90%,82%,87%
21K348,High School,High School of Sports Management,15%,86%,86%,88%,83%,88%,79%,84%,89%,89%,83%,87%
21K410,High School,Abraham Lincoln High School,10%,80%,57%,87%,81%,87%,67%,80%,84%,79%,79%,86%
21K411,YABC,Abraham Lincoln Yabc,4%,93%,33%,96%,95%,96%,94%,91%,97%,99%,88%,96%
21K468,Middle/High,Kingsborough Early College School,34%,100%,90%,98%,95%,94%,72%,77%,91%,82%,75%,99%
21K525,High School,Edward R. Murrow High School,19%,72%,77%,89%,85%,84%,70%,84%,92%,88%,82%,89%
21K540,High School,John Dewey High School,29%,95%,59%,78%,75%,85%,65%,79%,81%,80%,78%,78%
21K559,High School,Life Academy High School for Film and Music,57%,100%,83%,98%,97%,97%,94%,89%,97%,99%,87%,98%
21K572,High School,Expeditionary Learning School for Community Leaders,66%,100%,84%,97%,96%,95%,74%,90%,97%,87%,90%,98%
21K620,High School,William E. Grady Career and Technical Education High School,14%,82%,63%,88%,82%,90%,77%,77%,89%,91%,75%,88%
21K690,Middle/High,Brooklyn Studio Secondary School,18%,64%,73%,75%,69%,85%,67%,82%,78%,82%,81%,75%
21K728,Transfer High School,Liberation Diploma Plus,95%,70%,91%,88%,79%,75%,97%,91%,96%,100%,90%,84%
22K014,Middle School,J.H.S. 014 Shell Bank,30%,98%,92%,91%,86%,86%,71%,80%,92%,87%,79%,90%
22K052,Elementary School,P.S. 052 Sheepshead Bay,55%,100%,N/A,82%,72%,87%,82%,92%,85%,93%,N/A,81%
22K078,Middle School,J.H.S. 078 Roy H. Mann,28%,100%,90%,81%,78%,82%,74%,77%,86%,84%,74%,83%
22K109,Elementary/Middle,P.S. 109,13%,64%,83%,84%,81%,85%,83%,82%,88%,90%,80%,85%
22K119,Elementary School,P.S. 119 Amersfort,59%,97%,N/A,96%,93%,98%,86%,95%,99%,93%,N/A,96%
22K134,Elementary School,P.S. K134,84%,76%,N/A,96%,87%,94%,84%,97%,97%,92%,N/A,95%
22K139,Elementary School,P.S. 139 Alexine A. Fenty,57%,74%,N/A,77%,65%,79%,83%,82%,82%,90%,N/A,74%
22K152,Elementary School,School of Science & Technology,47%,56%,N/A,87%,72%,89%,85%,88%,87%,92%,N/A,83%
22K193,Elementary School,P.S. 193 Gil Hodges,38%,95%,N/A,81%,61%,85%,83%,89%,81%,86%,N/A,79%
22K194,Elementary School,P.S. 194 Raoul Wallenberg,50%,92%,N/A,95%,90%,95%,85%,90%,96%,93%,N/A,93%
22K195,Elementary School,P.S. 195 Manhattan Beach,92%,100%,N/A,94%,86%,94%,87%,95%,95%,93%,N/A,94%
22K197,Elementary School,P.S. 197 - The Kings Highway Academy,69%,93%,N/A,93%,87%,95%,83%,96%,96%,94%,N/A,93%
22K198,Elementary School,P.S. 198 Brooklyn,39%,100%,N/A,93%,87%,94%,90%,91%,97%,94%,N/A,92%
22K203,Elementary School,P.S. 203 Floyd Bennett School,36%,75%,N/A,89%,82%,90%,86%,87%,95%,93%,N/A,87%
22K206,Elementary/Middle,P.S. 206 Joseph F Lamb,52%,80%,96%,91%,84%,92%,79%,87%,89%,89%,85%,90%
22K207,Elementary/Middle,P.S. 207 Elizabeth G. Leary,59%,88%,98%,91%,84%,93%,84%,89%,92%,90%,87%,92%
22K217,Elementary School,P.S. 217 Colonel David Marcus School,57%,80%,N/A,86%,76%,92%,83%,92%,86%,92%,N/A,85%
22K222,Elementary School,P.S. 222 Katherine R. Snyder,73%,87%,N/A,94%,86%,98%,88%,98%,97%,94%,N/A,94%
22K234,Middle School,J.H.S. 234 Arthur W. Cunningham,60%,97%,96%,89%,85%,88%,73%,85%,91%,88%,82%,89%
22K236,Elementary School,P.S. 236 Mill Basin,66%,97%,N/A,95%,86%,94%,86%,96%,98%,94%,N/A,94%
22K240,Middle School,Andries Hudde,30%,95%,92%,87%,81%,88%,77%,80%,91%,90%,77%,88%
22K245,Elementary School,P.S. 245,93%,100%,N/A,97%,89%,94%,90%,95%,93%,92%,N/A,95%
22K251,Elementary School,P.S. 251 Paerdegat,20%,84%,N/A,77%,71%,84%,83%,87%,85%,93%,N/A,77%
22K254,Elementary School,P.S. 254 Dag Hammarskjold,98%,86%,N/A,90%,82%,93%,81%,96%,91%,92%,N/A,90%
22K255,Elementary School,P.S. 255 Barbara Reing School,54%,93%,N/A,92%,81%,90%,83%,96%,91%,91%,N/A,90%
22K269,Elementary School,P.S. 269 Nostrand,53%,54%,N/A,73%,63%,94%,80%,82%,72%,87%,N/A,73%
22K277,Elementary School,P.S. 277 Gerritsen Beach,89%,100%,N/A,97%,91%,99%,87%,97%,97%,93%,N/A,96%
22K278,Middle School,J.H.S. 278 Marine Park,75%,91%,96%,91%,88%,91%,94%,80%,91%,97%,75%,92%
22K312,Elementary School,P.S. 312 Bergen Beach,69%,95%,N/A,93%,83%,94%,86%,96%,93%,93%,N/A,91%
22K315,Elementary School,P.S. K315,51%,88%,N/A,84%,72%,88%,81%,86%,93%,90%,N/A,84%
22K326,Early Childhood,P.S. 326,54%,100%,N/A,99%,98%,99%,86%,95%,99%,95%,N/A,99%
22K361,Early Childhood,P.S. 361 East Flatbush Early Childhood School,43%,59%,N/A,85%,81%,84%,88%,94%,91%,95%,N/A,84%
22K381,Middle School,I. S. 381,38%,89%,97%,92%,87%,82%,77%,80%,89%,84%,78%,91%
22K405,High School,Midwood High School,7%,53%,65%,80%,68%,87%,65%,86%,82%,85%,84%,77%
22K425,High School,James Madison High School,14%,46%,80%,93%,88%,90%,70%,77%,89%,84%,73%,93%
22K495,High School,Sheepshead Bay High School,5%,61%,46%,78%,71%,81%,69%,81%,82%,82%,79%,77%
22K535,High School,Leon M. Goldstein High School for the Sciences,12%,47%,70%,81%,67%,87%,65%,85%,83%,85%,83%,76%
22K555,High School,Brooklyn College Academy,39%,100%,91%,92%,88%,88%,74%,88%,93%,89%,86%,91%
22K611,High School,Origins High School,28%,100%,79%,93%,91%,80%,79%,85%,93%,91%,84%,91%
22K630,High School,Professional Pathways High School,24%,100%,98%,99%,96%,84%,87%,95%,99%,94%,95%,96%
23K041,Elementary/Middle,P.S. 041 Francis White,16%,60%,98%,88%,81%,87%,77%,79%,87%,84%,78%,87%
23K073,Elementary/Middle,P.S. 073 Thomas S. Boyland,84%,72%,93%,90%,87%,88%,89%,83%,88%,94%,78%,90%
23K137,Elementary/Middle,P.S./I.S. 137 Rachel Jean Mitchell,53%,71%,89%,90%,80%,93%,87%,85%,92%,93%,84%,89%
23K150,Elementary School,P.S. 150 Christopher,54%,19%,N/A,87%,89%,N/A,82%,90%,91%,87%,N/A,N/A
23K155,Elementary/Middle,P.S./ I.S. 155 Nicholas Herkimer,51%,97%,92%,96%,88%,91%,86%,86%,95%,92%,85%,95%
23K156,Elementary School,P.S. 156 Waverly,55%,89%,N/A,93%,85%,93%,84%,90%,96%,91%,N/A,92%
23K165,Elementary/Middle,P.S. 165 Ida Posner,19%,66%,87%,89%,81%,91%,83%,87%,92%,88%,87%,89%
23K178,Elementary/Middle,P.S. 178 Saint Clair Mckelway,89%,87%,79%,95%,88%,94%,90%,88%,96%,96%,87%,94%
23K184,Elementary/Middle,P.S. 184 Newport,78%,75%,82%,80%,72%,83%,87%,80%,86%,93%,79%,79%
23K284,Elementary/Middle,P.S. 284 Lew Wallace,100%,84%,74%,87%,80%,90%,90%,86%,92%,93%,86%,87%
23K298,Elementary School,P.S. 298 Dr. Betty Shabazz,50%,75%,N/A,94%,83%,97%,85%,88%,92%,89%,N/A,91%
23K323,Elementary/Middle,P.S./I.S. 323,75%,97%,98%,95%,86%,96%,86%,88%,93%,94%,86%,93%
23K327,Elementary/Middle,P.S. 327 Dr. Rose B. English,67%,75%,99%,82%,65%,90%,73%,77%,76%,77%,76%,80%
23K363,Middle School,Brownsville Collaborative Middle School,50%,94%,90%,80%,76%,79%,80%,85%,89%,90%,86%,77%
23K392,Middle School,I.S. 392,73%,100%,98%,98%,94%,97%,76%,85%,94%,87%,84%,98%
23K401,Elementary School,Christopher Avenue Community School,75%,96%,N/A,82%,68%,92%,86%,91%,88%,93%,N/A,81%
23K446,Elementary School,Riverdale Avenue Community School,31%,100%,N/A,93%,87%,92%,84%,88%,92%,88%,N/A,91%
23K493,High School,Brooklyn Collegiate: A College Board School,29%,100%,82%,87%,79%,89%,76%,80%,85%,86%,79%,85%
23K514,High School,Frederick Douglass Academy VII High School,65%,100%,73%,81%,85%,83%,71%,80%,87%,85%,80%,82%
23K518,Middle School,Kappa V,96%,69%,98%,83%,83%,94%,77%,85%,89%,91%,84%,87%
23K522,Middle School,Mott Hall IV,95%,91%,97%,99%,97%,98%,87%,87%,95%,94%,85%,100%
23K599,Early Childhood,Brooklyn Landmark Elementary School,93%,100%,N/A,100%,96%,99%,92%,99%,99%,96%,N/A,99%
23K631,Elementary School,General D. Chappie James Elementary School of Science,84%,100%,N/A,83%,87%,97%,78%,98%,88%,93%,N/A,86%
23K634,Middle School,General D. Chappie James Middle School of Science,25%,100%,82%,88%,83%,75%,92%,86%,96%,95%,86%,86%
23K643,Transfer High School,Brooklyn Democracy Academy,29%,94%,55%,93%,92%,96%,82%,90%,95%,89%,90%,95%
23K644,Middle/High,Eagle Academy for Young Men II,51%,76%,78%,87%,86%,87%,82%,85%,93%,92%,84%,89%
23K646,Transfer High School,Aspirations Diploma Plus High School,19%,89%,74%,86%,78%,77%,75%,84%,91%,87%,84%,82%
23K647,Transfer High School,Metropolitan Diploma Plus High School,63%,71%,90%,95%,95%,93%,79%,89%,96%,91%,89%,96%
23K664,Middle School,Brooklyn Environmental Exploration School (BEES),94%,100%,96%,98%,96%,95%,86%,91%,97%,92%,90%,98%
23K668,Middle School,Riverdale Avenue Middle School,79%,88%,95%,91%,92%,97%,85%,92%,93%,96%,92%,91%
23K671,Middle School,Mott Hall Bridges Academy,72%,84%,81%,99%,97%,96%,86%,92%,96%,91%,91%,99%
23K697,Middle/High,Teachers Preparatory High School,61%,90%,76%,82%,76%,84%,73%,76%,81%,81%,76%,82%
24Q005,Middle/High,I.S. 5 - The Walter Crowley Intermediate School,46%,92%,98%,82%,76%,82%,68%,83%,90%,88%,81%,82%
24Q007,Early Childhood,P.S. 007 Louis F. Simeone,85%,68%,N/A,81%,77%,90%,77%,92%,90%,92%,N/A,81%
24Q012,Elementary School,P.S. 012 James B. Colgate,96%,95%,N/A,93%,85%,92%,82%,96%,96%,92%,N/A,93%
