DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
30Q171,P.S. 171 Peter G. Van Alst,49%,83%,N/A,83%,90%,81%,88%,67%,92%,92%,N/A,81%
30Q204,I.S. 204 Oliver W. Holmes,36%,85%,96%,65%,74%,74%,82%,69%,82%,89%,71%,70%
30Q212,P.S. 212,88%,67%,N/A,92%,91%,85%,92%,88%,93%,93%,N/A,90%
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,82%,100%,N/A,82%,85%,85%,94%,82%,84%,95%,N/A,82%
30Q227,I.S. 227 Louis Armstrong,80%,74%,98%,83%,78%,90%,85%,81%,85%,90%,81%,81%
30Q228,P.S. 228 Early Childhood Magnet School Of The Arts,79%,66%,N/A,75%,79%,64%,91%,79%,88%,96%,N/A,75%
30Q230,I.S. 230,45%,88%,99%,86%,88%,85%,82%,78%,89%,90%,77%,87%
30Q234,P.S. 234,71%,68%,N/A,79%,87%,86%,92%,81%,83%,93%,N/A,82%
30Q235,Academy For New Americans,96%,100%,99%,96%,99%,94%,87%,84%,95%,93%,82%,97%
30Q258,Energy Tech High School,47%,100%,86%,87%,93%,83%,85%,72%,92%,91%,73%,89%
30Q280,P.S. 280,83%,100%,N/A,80%,85%,84%,88%,79%,90%,93%,N/A,82%
30Q286,"Young Women'S Leadership School, Astoria",58%,86%,86%,86%,77%,87%,85%,82%,81%,89%,82%,79%
30Q291,Hunters Point Community Middle School,49%,71%,93%,85%,92%,84%,91%,79%,92%,93%,78%,88%
30Q300,The 30Th Avenue School (G&T Citywide),70%,100%,97%,96%,98%,94%,96%,82%,95%,97%,81%,97%
30Q301,Academy For Careers In Television And Film,64%,100%,97%,95%,98%,88%,89%,78%,95%,95%,77%,95%
30Q329,East Elmhurst Community School,86%,61%,N/A,98%,100%,90%,96%,86%,100%,98%,N/A,94%
30Q361,The Woodside Community School,91%,100%,N/A,98%,99%,92%,95%,97%,100%,97%,N/A,97%
30Q445,William Cullen Bryant High School,20%,30%,48%,52%,55%,63%,74%,62%,65%,81%,66%,54%
30Q450,Long Island City High School,18%,95%,75%,78%,83%,76%,76%,63%,85%,85%,65%,81%
30Q501,Frank Sinatra School Of The Arts High School,36%,98%,95%,83%,89%,87%,87%,77%,90%,91%,77%,87%
30Q502,Information Technology High School,10%,97%,81%,80%,81%,79%,81%,68%,87%,91%,70%,80%
30Q555,Newcomers High School,32%,83%,87%,85%,86%,86%,77%,78%,88%,89%,79%,85%
30Q575,Academy Of American Studies,29%,80%,92%,76%,79%,87%,83%,72%,87%,91%,74%,80%
30Q580,Baccalaureate School For Global Education,37%,68%,95%,74%,76%,85%,77%,80%,84%,86%,81%,76%
31R001,P.S. 001 Tottenville,89%,100%,N/A,91%,91%,95%,96%,94%,90%,95%,N/A,92%
31R002,I.S. R002 George L. Egbert,77%,92%,99%,83%,83%,82%,83%,74%,87%,86%,73%,86%
31R003,P.S. 003 The Margaret Gioiosa School,88%,92%,N/A,94%,95%,88%,93%,88%,97%,94%,N/A,93%
31R004,P.S. 004 Maurice Wollin,99%,95%,N/A,82%,81%,88%,94%,85%,90%,94%,N/A,84%
31R005,P.S. 005 Huguenot,91%,100%,N/A,99%,98%,100%,98%,100%,98%,96%,N/A,100%
31R006,P.S. 6 Corporal Allan F. Kivlehan School,55%,78%,N/A,95%,94%,91%,93%,91%,93%,91%,N/A,94%
31R007,I.S. 007 Elias Bernstein,67%,82%,100%,87%,85%,89%,89%,80%,85%,91%,80%,87%
31R008,P.S. 8 Shirlee Solomon,100%,92%,N/A,96%,97%,97%,96%,97%,97%,94%,N/A,98%
31R009,Naples Street Elementary School,100%,95%,N/A,97%,99%,97%,98%,92%,98%,96%,N/A,97%
31R010,Fort Hill Collaborative Elementary School,55%,78%,N/A,94%,99%,90%,92%,87%,92%,94%,N/A,92%
31R011,P.S. 11 Thomas Dongan School,48%,88%,N/A,84%,76%,79%,92%,76%,82%,93%,N/A,78%
31R013,P.S. 013 M. L. Lindemeyer,29%,49%,N/A,88%,91%,89%,95%,90%,93%,96%,N/A,89%
31R016,P.S. 016 John J. Driscoll,63%,90%,N/A,91%,95%,85%,90%,77%,95%,92%,N/A,89%
31R018,P.S. 018 John G. Whittier,55%,57%,N/A,79%,83%,84%,87%,71%,87%,92%,N/A,79%
31R019,P.S. 019 The Curtis School,50%,55%,N/A,75%,77%,78%,91%,71%,84%,92%,N/A,75%
31R020,P.S. 020 Port Richmond,47%,84%,N/A,83%,88%,79%,91%,72%,92%,94%,N/A,82%
31R021,P.S. 21 Margaret Emery-Elm Park,54%,100%,N/A,86%,85%,80%,89%,81%,87%,90%,N/A,83%
31R022,P.S. 022 Graniteville,36%,73%,N/A,84%,75%,73%,89%,71%,85%,91%,N/A,76%
31R023,P.S. 023 Richmondtown,80%,75%,N/A,98%,97%,92%,97%,89%,97%,96%,N/A,95%
31R024,I.S. 024 Myra S. Barnes,74%,85%,99%,86%,91%,85%,87%,71%,88%,91%,69%,89%
31R026,P.S. 026 The Carteret School,75%,100%,N/A,92%,93%,88%,96%,85%,97%,96%,N/A,90%
31R027,I.S. 027 Anning S. Prall,48%,100%,98%,84%,88%,80%,79%,73%,87%,85%,74%,86%
31R028,The Eagle Academy For Young Men Of Staten Island,61%,92%,98%,91%,97%,87%,93%,75%,95%,95%,75%,94%
31R029,P.S. 029 Bardwell,73%,91%,N/A,95%,94%,89%,99%,91%,99%,99%,N/A,94%
31R030,P.S. 030 Westerleigh,65%,84%,N/A,97%,95%,96%,94%,92%,95%,93%,N/A,95%
31R031,P.S. 031 William T. Davis,39%,64%,N/A,75%,73%,77%,91%,59%,93%,92%,N/A,74%
31R032,P.S. 032 The Gifford School,83%,98%,N/A,84%,84%,85%,92%,78%,86%,91%,N/A,82%
31R034,I.S. 034 Tottenville,85%,100%,99%,82%,84%,79%,87%,77%,85%,91%,76%,82%
31R035,P.S. 35 The Clove Valley School,78%,54%,N/A,94%,96%,91%,97%,93%,95%,96%,N/A,94%
31R036,P.S. 036 J. C. Drumgoole,55%,73%,N/A,77%,65%,63%,94%,79%,79%,90%,N/A,72%
31R038,P.S. 038 George Cromwell,100%,82%,N/A,92%,93%,83%,93%,86%,94%,93%,N/A,90%
31R039,P.S. 39 Francis J. Murphy Jr.,46%,94%,N/A,79%,74%,79%,92%,71%,84%,92%,N/A,76%
31R041,P.S. 041 New Dorp,53%,80%,N/A,86%,90%,85%,93%,81%,91%,94%,N/A,86%
31R042,P.S. 042 Eltingville,61%,81%,N/A,91%,88%,87%,96%,87%,91%,95%,N/A,88%
31R044,P.S. 044 Thomas C. Brown,50%,69%,N/A,70%,67%,70%,86%,52%,81%,91%,N/A,65%
31R045,P.S. 045 John Tyler,43%,85%,N/A,88%,87%,86%,95%,84%,90%,95%,N/A,86%
31R046,P.S. 046 Albert V. Maniscalco,76%,85%,N/A,91%,88%,89%,90%,79%,97%,92%,N/A,88%
31R047,Csi High School For International Studies,83%,85%,91%,89%,96%,91%,89%,81%,91%,92%,80%,93%
31R048,P.S. 048 William G. Wilcox,64%,95%,99%,94%,96%,88%,95%,77%,94%,94%,76%,95%
31R049,I.S. 49 Berta A. Dreyfus,17%,62%,93%,50%,63%,58%,79%,62%,75%,89%,66%,55%
31R050,P.S. 050 Frank Hankinson,61%,96%,N/A,92%,91%,92%,96%,91%,95%,95%,N/A,92%
31R051,I.S. 051 Edwin Markham,24%,75%,91%,84%,90%,83%,84%,73%,90%,91%,73%,87%
31R052,P.S. 052 John C. Thompson,73%,100%,N/A,91%,94%,92%,94%,82%,94%,95%,N/A,90%
31R053,P.S. 053 Bay Terrace,73%,91%,N/A,97%,99%,97%,96%,95%,98%,96%,N/A,97%
31R054,P.S. 054 Charles W. Leng,40%,71%,N/A,88%,79%,90%,94%,82%,87%,93%,N/A,84%
31R055,P.S. 055 Henry M. Boehm,77%,90%,N/A,89%,87%,87%,96%,90%,90%,94%,N/A,88%
31R056,P.S. 56 The Louis Desario School,59%,80%,N/A,88%,82%,88%,90%,83%,87%,88%,N/A,85%
31R057,P.S. 057 Hubert H. Humphrey,54%,94%,N/A,82%,84%,76%,88%,70%,91%,92%,N/A,80%
31R058,Space Shuttle Columbia School,100%,98%,N/A,90%,92%,91%,94%,81%,95%,94%,N/A,89%
31R059,The Harbor View School,58%,80%,N/A,88%,99%,91%,95%,86%,97%,96%,N/A,91%
31R060,P.S. 060 Alice Austen,44%,92%,N/A,81%,86%,80%,90%,86%,86%,91%,N/A,84%
31R061,I.S. 061 William A Morris,29%,93%,93%,80%,83%,76%,83%,65%,85%,88%,66%,82%
31R062,The Kathleen Grimm School For Leadership And Sustainability,90%,100%,N/A,99%,100%,96%,98%,99%,99%,98%,N/A,99%
31R063,Marsh Avenue School For Expeditionary Learning,60%,74%,99%,85%,93%,89%,89%,76%,88%,92%,75%,89%
31R064,Gaynor Mccown Expeditionary Learning School,60%,85%,97%,79%,86%,86%,83%,71%,90%,90%,71%,85%
31R065,P.S. 65 The Academy Of Innovative Learning,47%,97%,N/A,96%,97%,88%,98%,89%,95%,97%,N/A,93%
31R069,P.S. 069 Daniel D. Tompkins,76%,100%,N/A,85%,84%,87%,94%,81%,88%,91%,N/A,85%
31R072,I.S. 072 Rocco Laurie,73%,100%,97%,84%,86%,84%,81%,75%,88%,87%,75%,86%
31R074,P.S. 74 Future Leaders Elementary School,69%,90%,N/A,78%,77%,72%,91%,66%,85%,92%,N/A,73%
31R075,I.S. 075 Frank D. Paulo,82%,100%,95%,95%,96%,93%,90%,80%,93%,93%,79%,96%
31R078,Ps 78,34%,55%,N/A,77%,84%,77%,88%,64%,88%,92%,N/A,77%
31R080,The Michael J. Petrides School,66%,92%,97%,91%,93%,90%,91%,74%,91%,91%,74%,94%
31R440,New Dorp High School,31%,100%,85%,88%,93%,83%,81%,63%,90%,89%,64%,90%
31R445,Port Richmond High School,23%,90%,85%,83%,87%,84%,83%,73%,90%,91%,73%,86%
31R450,Curtis High School,21%,98%,79%,81%,89%,81%,79%,66%,89%,87%,69%,86%
31R455,Tottenville High School,29%,81%,82%,69%,73%,73%,80%,67%,78%,89%,68%,71%
31R460,Susan E. Wagner High School,47%,97%,88%,83%,85%,82%,77%,70%,86%,86%,71%,85%
31R470,Concord High School,26%,100%,83%,72%,83%,71%,78%,68%,90%,91%,72%,74%
31R600,Ralph R. Mckee Career And Technical Education High School,31%,95%,86%,72%,83%,76%,80%,64%,83%,89%,66%,78%
31R605,Staten Island Technical High School,93%,100%,98%,88%,93%,93%,88%,89%,94%,93%,89%,92%
31R607,Staten Island Yabc,9%,83%,51%,96%,92%,89%,76%,80%,95%,91%,80%,93%
31R861,Staten Island School Of Civic Leadership,71%,80%,99%,73%,72%,82%,91%,72%,81%,94%,74%,73%
32K045,P.S./I.S. 045 Horace E. Greene,66%,75%,100%,80%,80%,82%,90%,81%,89%,95%,84%,79%
32K075,P.S. 075 Mayda Cortiella,35%,86%,N/A,82%,80%,76%,88%,81%,82%,86%,N/A,81%
32K086,P.S. 086 The Irvington,93%,93%,N/A,90%,94%,89%,91%,86%,95%,95%,N/A,90%
32K106,P.S. 106 Edward Everett Hale,50%,95%,N/A,84%,90%,87%,87%,81%,94%,91%,N/A,86%
32K116,P.S. 116 Elizabeth L Farrell,73%,98%,N/A,74%,73%,80%,81%,80%,78%,87%,N/A,75%
32K123,P.S. 123 Suydam,81%,96%,N/A,90%,92%,91%,91%,81%,93%,95%,N/A,88%
32K145,P.S. 145 Andrew Jackson,63%,92%,N/A,89%,92%,90%,89%,87%,95%,92%,N/A,91%
32K151,P.S. 151 Lyndon B. Johnson,90%,76%,N/A,93%,95%,90%,91%,86%,94%,94%,N/A,92%
32K162,J.H.S. 162 The Willoughby,49%,100%,97%,60%,73%,75%,83%,70%,78%,92%,72%,67%
32K168,The Brooklyn School For Math And Research,85%,100%,85%,86%,97%,89%,91%,71%,92%,95%,72%,92%
32K274,P.S. 274 Kosciusko,51%,100%,N/A,85%,86%,90%,85%,87%,87%,90%,N/A,87%
32K291,J.H.S. 291 Roland Hayes,43%,100%,93%,85%,90%,81%,81%,73%,86%,88%,74%,86%
32K299,P.S. 299 Thomas Warren Field,100%,79%,N/A,86%,87%,87%,97%,80%,94%,98%,N/A,85%
32K347,I.S. 347 School Of Humanities,46%,96%,96%,92%,94%,85%,85%,72%,93%,92%,73%,92%
32K349,"I.S. 349 Math, Science & Tech.",67%,100%,91%,87%,90%,89%,82%,74%,88%,90%,75%,88%
32K376,P.S. 376,95%,87%,N/A,89%,93%,96%,86%,91%,91%,91%,N/A,91%
32K377,P.S. 377 Alejandrina B. De Gautier,63%,86%,96%,64%,67%,67%,87%,62%,78%,90%,65%,67%
32K383,J.H.S. 383 Philippa Schuyler,34%,66%,96%,82%,83%,85%,84%,71%,88%,91%,73%,83%
32K384,P.S. /I.S. 384 Frances E. Carter,75%,98%,96%,84%,78%,80%,85%,76%,86%,88%,77%,82%
32K403,Academy For Environmental Leadership,77%,93%,85%,67%,69%,68%,77%,65%,85%,86%,70%,69%
32K545,Ebc High School For Public Service - Bushwick,60%,84%,94%,84%,90%,81%,80%,73%,88%,88%,73%,87%
32K549,Bushwick School For Social Justice,51%,94%,77%,77%,83%,78%,86%,68%,88%,91%,71%,80%
32K552,Academy Of Urban Planning,78%,100%,95%,90%,92%,86%,84%,71%,89%,89%,72%,91%
32K554,All City Leadership Secondary School,40%,94%,91%,98%,99%,97%,92%,94%,98%,95%,94%,99%
32K556,Bushwick Leaders High School For Academic Excellence,26%,65%,88%,68%,74%,70%,83%,68%,85%,91%,70%,71%
32K562,Evergreen Middle School For Urban Exploration,74%,100%,95%,91%,90%,83%,84%,80%,91%,89%,79%,91%
32K564,Bushwick Community High School,31%,100%,59%,77%,76%,87%,88%,82%,89%,95%,83%,79%
75K004,P.S. K004,46%,53%,N/A,77%,81%,58%,90%,75%,84%,95%,N/A,72%
75K036,P.S. 36,72%,57%,79%,83%,93%,82%,99%,73%,93%,99%,75%,87%
75K053,P.S. K053,47%,92%,99%,85%,84%,82%,92%,95%,92%,95%,98%,82%
75K077,P.S. K077,32%,54%,99%,72%,80%,70%,85%,77%,83%,92%,81%,73%
75K140,P.S. K140,26%,63%,81%,71%,75%,66%,82%,74%,82%,89%,78%,71%
75K141,P.S. K141,48%,67%,0%,76%,73%,68%,83%,80%,83%,91%,N/A,72%
75K231,P.S. K231,46%,63%,95%,72%,70%,67%,90%,75%,80%,93%,80%,67%
75K368,P.S. 368,14%,80%,69%,81%,88%,80%,86%,79%,92%,91%,80%,85%
75K369,P.S. K369 - Coy L. Cox School,17%,53%,76%,85%,83%,72%,83%,77%,90%,89%,79%,83%
75K370,P.S. 370,42%,77%,96%,81%,83%,71%,91%,83%,92%,95%,84%,79%
75K371,P.S. 371 - Lillian L. Rashkis,37%,82%,60%,83%,90%,74%,95%,72%,92%,99%,76%,83%
75K372,P.S. 372 -The Children'S School,38%,30%,N/A,90%,91%,88%,98%,95%,95%,96%,N/A,91%
75K373,P.S. 373 - Brooklyn Transition Center,40%,73%,99%,87%,91%,81%,88%,80%,92%,93%,81%,87%
75K396,P.S. K396,22%,35%,N/A,79%,84%,75%,89%,77%,87%,93%,N/A,79%
75K721,P.S. K721 - Brooklyn Occupational Training Center,29%,54%,99%,82%,86%,76%,88%,83%,88%,94%,84%,79%
75K753,P.S. K753 - School For Career Development,33%,63%,61%,83%,92%,79%,96%,66%,90%,98%,69%,85%
75K771,P.S. K771,33%,45%,88%,87%,91%,80%,89%,85%,94%,94%,89%,86%
75K811,P.S. K811 Connie Lekas School,28%,69%,100%,84%,87%,81%,86%,84%,88%,92%,85%,84%
75M035,P.S. 035,6%,74%,59%,69%,80%,70%,77%,63%,85%,93%,67%,72%
75M079,P.S. M079 - Horan School,35%,55%,99%,70%,82%,71%,89%,78%,84%,92%,81%,74%
75M094,P.S. M094,34%,42%,88%,81%,82%,69%,90%,81%,91%,94%,82%,79%
75M138,P.S. 138,30%,41%,72%,66%,69%,66%,84%,85%,86%,91%,89%,67%
75M169,P.S. M169 - Robert F. Kennedy,78%,68%,90%,82%,86%,82%,86%,79%,91%,93%,83%,84%
75M226,P.S. M226,38%,70%,100%,66%,72%,71%,89%,86%,82%,93%,89%,67%
75M721,P.S. M721 - Manhattan Occupational Training Center,67%,68%,99%,81%,86%,77%,85%,92%,91%,92%,95%,81%
75M751,Manhattan School For Career Development,53%,100%,97%,92%,93%,87%,91%,81%,93%,95%,81%,91%
75M811,P.S. M811 - Mickey Mantle School,42%,28%,87%,71%,78%,78%,91%,91%,92%,96%,94%,75%
75Q004,P.S. Q004,62%,94%,100%,91%,94%,84%,91%,86%,94%,95%,87%,91%
75Q009,P.S. 009,23%,44%,67%,69%,73%,75%,84%,85%,84%,91%,89%,70%
75Q023,P.S. Q023 @ Queens Children Center,14%,47%,51%,70%,78%,68%,78%,61%,83%,88%,66%,72%
75Q075,Robert E. Peary School,25%,72%,94%,76%,86%,74%,84%,78%,90%,90%,81%,80%
75Q177,P.S. Q177,44%,74%,100%,91%,95%,85%,92%,90%,97%,95%,91%,91%
75Q224,P.S. Q224,45%,88%,95%,86%,87%,71%,91%,77%,90%,94%,79%,82%
75Q233,P.S. Q233,31%,83%,96%,85%,90%,79%,87%,85%,92%,92%,87%,85%
75Q255,P.S. Q255,62%,63%,0%,83%,86%,67%,92%,77%,92%,96%,N/A,81%
75Q256,P.S. Q256,45%,75%,80%,80%,87%,70%,88%,72%,90%,93%,73%,81%
75Q277,The Riverview School,60%,96%,100%,92%,91%,85%,89%,99%,94%,90%,100%,91%
75Q721,John F. Kennedy Jr. School,42%,86%,100%,89%,90%,84%,87%,86%,93%,91%,87%,89%
75Q752,Queens Transition Center,13%,69%,79%,70%,70%,67%,82%,71%,83%,87%,74%,70%
75Q811,P.S. Q811,30%,56%,83%,93%,94%,74%,87%,77%,93%,92%,80%,89%
75Q993,P.S. Q993,43%,89%,96%,85%,85%,76%,86%,85%,92%,91%,86%,83%
75R025,South Richmond High School I.S./P.S. 25,20%,60%,52%,85%,91%,77%,84%,75%,92%,92%,76%,87%
75R037,P.S. R037,44%,60%,88%,70%,73%,55%,89%,80%,82%,90%,85%,65%
75R373,P.S. R373,31%,55%,100%,82%,83%,78%,92%,95%,93%,93%,98%,81%
75R721,The Richard H. Hungerford School,60%,96%,100%,95%,98%,89%,95%,95%,98%,97%,96%,95%
75X010,P.S. X010,48%,81%,100%,81%,87%,76%,90%,88%,90%,92%,89%,82%
75X012,P.S. X012 Lewis And Clark School,22%,49%,100%,73%,74%,75%,83%,82%,87%,85%,84%,76%
75X017,P.S. X017,67%,87%,79%,72%,75%,67%,86%,75%,82%,91%,77%,72%
75X168,P.S. 168,34%,70%,81%,75%,77%,67%,85%,77%,86%,92%,80%,74%
75X176,P.S. X176,37%,47%,89%,80%,83%,71%,92%,81%,91%,96%,84%,79%
75X186,P186X Walter J. Damrosch School,26%,38%,74%,82%,89%,86%,87%,75%,93%,94%,80%,85%
75X188,P.S. X188,24%,55%,91%,67%,74%,74%,87%,82%,86%,92%,87%,70%
75X352,The Vida Bogart School For All Children,33%,68%,95%,80%,83%,74%,90%,71%,85%,93%,74%,79%
75X469,P469X - The Bronx School For Continuous Learners,23%,63%,N/A,88%,87%,65%,89%,91%,91%,91%,N/A,85%
75X721,P.S. X721 - Stephen Mcsweeney School,38%,85%,99%,85%,93%,82%,90%,86%,94%,96%,87%,86%
75X723,P.S. 723,13%,48%,37%,80%,77%,65%,81%,73%,90%,89%,75%,78%
75X754,J. M. Rapport School Career Development,53%,79%,67%,67%,71%,71%,85%,71%,83%,88%,75%,70%
75X811,P.S. X811,28%,85%,95%,80%,86%,78%,88%,84%,91%,93%,87%,81%
84K037,Beginning With Children Charter School Ii,43%,54%,N/A,88%,90%,94%,92%,90%,95%,95%,N/A,90%
84K125,Success Academy Charter School - Bed-Stuy 2,25%,57%,N/A,91%,93%,96%,97%,92%,95%,95%,N/A,93%
84K129,Success Academy Charter School - Cobble Hill,34%,9%,N/A,94%,92%,.%,95%,.%,95%,94%,N/A,N/A
84K182,Success Academy Charter School - Williamsburg,34%,83%,N/A,83%,89%,94%,98%,88%,96%,97%,N/A,89%
84K333,Explore Exceed Charter School,67%,88%,94%,73%,77%,75%,89%,64%,84%,92%,67%,73%
84K355,Williamsburg Collegiate Charter School,50%,59%,98%,93%,92%,87%,92%,73%,93%,95%,73%,93%
84K356,Achievement First Crown Heights Charter School,50%,59%,50%,83%,88%,88%,91%,75%,89%,91%,76%,87%
84K357,Kipp Amp Charter School,55%,69%,88%,68%,71%,77%,87%,68%,81%,92%,69%,72%
84K358,Achievement First East New York Charter School,32%,75%,85%,88%,93%,89%,93%,70%,89%,95%,70%,90%
84K359,The Uft Charter School,16%,62%,89%,87%,91%,82%,74%,63%,89%,85%,64%,90%
84K360,Launch Expeditionary Learning Charter School,26%,89%,85%,75%,80%,78%,84%,67%,83%,89%,68%,77%
84K362,Hellenic Classical Charter School,77%,95%,99%,95%,98%,97%,95%,90%,96%,95%,90%,97%
84K367,Success Academy Charter School - Bed-Stuy 1,27%,41%,N/A,91%,95%,96%,95%,90%,96%,94%,N/A,93%
84K379,Explore Excel Charter School,74%,95%,100%,74%,83%,78%,87%,73%,86%,92%,74%,79%
84K386,Invictus Preparatory Charter School,33%,94%,96%,74%,83%,75%,85%,63%,82%,89%,64%,78%
84K395,Roads Charter School I,14%,56%,35%,42%,58%,55%,67%,55%,76%,81%,63%,49%
84K406,Teaching Firms Of America-Professional Preparatory Charter School,89%,95%,N/A,83%,89%,86%,93%,82%,91%,95%,N/A,85%
84K417,Urban Dove Charter School,16%,100%,67%,82%,92%,79%,89%,77%,94%,93%,80%,86%
84K473,Williamsburg Charter High School,58%,95%,85%,82%,88%,85%,82%,75%,92%,90%,77%,87%
84K486,New Dawn Charter High School,79%,100%,48%,90%,95%,86%,86%,79%,95%,97%,79%,92%
84K508,Achievement First Endeavor Charter School,40%,54%,91%,82%,87%,80%,90%,68%,88%,93%,69%,84%
84K517,Leadership Prep Bedford Stuyvesant Charter School,35%,63%,0%,72%,81%,91%,90%,81%,84%,92%,N/A,79%
84K536,Community Roots Charter School,64%,80%,98%,94%,96%,88%,98%,72%,91%,97%,68%,95%
84K538,Achievement First Bushwick Charter School,28%,55%,94%,91%,94%,94%,91%,82%,91%,92%,82%,94%
84K593,Excellence Boys Charter School,51%,91%,71%,72%,74%,81%,87%,57%,75%,91%,57%,72%
84K608,Kings Collegiate Charter School,85%,96%,95%,66%,76%,77%,90%,83%,85%,93%,89%,69%
84K626,Achievement First Brownsville Charter School,21%,33%,91%,89%,92%,86%,88%,73%,91%,91%,74%,90%
84K648,Bedford Stuyvesant Collegiate Charter School,50%,79%,96%,85%,84%,89%,92%,79%,90%,90%,79%,88%
84K649,La Cima Charter School,33%,13%,N/A,63%,69%,85%,90%,59%,87%,94%,N/A,68%
84K651,Pave Academy Charter School,18%,91%,95%,67%,75%,80%,91%,70%,82%,93%,72%,72%
84K652,Brooklyn Ascend Charter School,72%,90%,97%,80%,87%,83%,91%,70%,89%,93%,71%,86%
84K680,Achievement First Aspire Charter School,37%,26%,N/A,69%,81%,91%,94%,81%,85%,94%,N/A,78%
84K689,Citizens Of The World Charter School 1 Williamsburg,47%,93%,N/A,77%,77%,80%,93%,79%,92%,94%,N/A,79%
84K692,Citizens Of The World Charter School New York 2 Crown Heights,79%,97%,N/A,82%,88%,77%,96%,72%,94%,95%,N/A,82%
84K693,Northside Charter High School,53%,100%,88%,85%,85%,83%,77%,73%,90%,87%,75%,85%
84K701,Brooklyn Charter School,35%,88%,N/A,80%,81%,74%,92%,63%,86%,91%,N/A,75%
84K702,Community Partnership Charter School,55%,83%,90%,60%,68%,69%,86%,58%,74%,85%,59%,66%
84K703,Beginning With Children Charter School,47%,100%,98%,86%,91%,85%,94%,73%,91%,95%,72%,89%
84K704,Explore Charter School,78%,91%,98%,66%,72%,72%,92%,64%,80%,93%,66%,69%
84K707,Brooklyn Prospect Charter School,35%,98%,88%,82%,91%,82%,91%,74%,91%,94%,75%,86%
84K710,Brownsville Collegiate Charter School,49%,83%,90%,64%,67%,73%,82%,57%,81%,86%,60%,68%
84K711,Leadership Preparatory Brownsville Charter School,70%,93%,76%,78%,83%,86%,93%,65%,85%,95%,65%,82%
84K712,Excellence Girls Charter School,75%,81%,88%,86%,91%,92%,93%,70%,87%,94%,71%,90%
84K724,Leadership Prep Canarsie Charter School (Leadership Prep Cs 4),70%,65%,99%,90%,93%,91%,92%,71%,93%,95%,72%,93%
84K726,Fahari Academy Charter School,70%,94%,85%,88%,90%,92%,86%,74%,86%,90%,73%,90%
84K730,Summit Academy Charter School,58%,90%,89%,75%,85%,82%,89%,70%,90%,94%,73%,81%
84K731,Brooklyn Excelsior Charter School,15%,0%,0%,93%,89%,.%,83%,.%,90%,88%,N/A,N/A
84K733,"Math, Engineering, And Science Academy Charter High School",51%,94%,90%,81%,87%,79%,88%,74%,90%,93%,77%,83%
84K736,New American Academy Charter School,84%,92%,N/A,86%,92%,82%,93%,82%,95%,95%,N/A,87%
84K737,Brownsville Ascend Charter School,54%,65%,74%,75%,87%,80%,85%,64%,86%,91%,65%,82%
84K738,New Visions Charter High School For Advanced Math And Science Iii,84%,94%,100%,87%,93%,86%,82%,73%,90%,88%,75%,91%
84K739,New Visions Charter High School For The Humanities Iii,71%,94%,76%,66%,78%,75%,81%,61%,84%,87%,63%,76%
84K740,Brooklyn Scholars Charter School,73%,61%,100%,80%,85%,89%,93%,74%,88%,94%,75%,85%
84K741,Success Academy Crown Heights (Brooklyn 7),38%,85%,N/A,81%,90%,95%,95%,90%,89%,96%,N/A,87%
84K742,Explore Empower Charter School,67%,91%,95%,63%,76%,67%,88%,66%,85%,94%,69%,69%
84K744,Coney Island Preparatory Public Charter School,17%,91%,52%,78%,86%,84%,92%,76%,89%,95%,77%,83%
84K746,Hebrew Language Academy Charter School,83%,85%,98%,81%,88%,89%,89%,75%,86%,91%,72%,86%
84K752,Success Academy Fort Greene (Brooklyn 5),20%,21%,N/A,80%,86%,95%,97%,78%,90%,93%,N/A,85%
84K756,Success Academy Prospect Heights (Brooklyn 6),23%,84%,N/A,87%,92%,89%,96%,89%,99%,98%,N/A,90%
84K757,Unity Prep Charter School,41%,88%,89%,66%,79%,83%,90%,71%,83%,93%,73%,75%
84K758,Brooklyn Urban Garden Charter School,45%,91%,98%,73%,83%,82%,88%,69%,87%,90%,69%,81%
84K759,Canarsie Ascend Charter School,77%,100%,N/A,87%,93%,94%,94%,90%,95%,94%,N/A,91%
84K766,The International Charter School Of New York,48%,100%,N/A,84%,90%,73%,95%,80%,95%,96%,N/A,84%
84K769,Hyde Leadership Charter School- Brooklyn,70%,74%,N/A,69%,79%,80%,93%,67%,90%,94%,N/A,75%
84K772,Success Academy Charter School - Bensonhurst - New York 3,30%,40%,N/A,100%,97%,99%,99%,97%,99%,98%,N/A,98%
84K774,Achievement First Apollo Charter School,29%,55%,71%,84%,90%,86%,94%,78%,90%,94%,78%,86%
84K775,Leadership Preparatory Ocean Hill Charter School,44%,93%,94%,87%,91%,91%,91%,74%,91%,93%,75%,90%
84K777,Ocean Hill Collegiate Charter School,36%,100%,90%,81%,89%,87%,86%,68%,88%,91%,69%,86%
84K780,Brooklyn East Collegiate Charter School,9%,83%,88%,75%,77%,85%,83%,69%,82%,84%,69%,80%
